C1	7,191	64.8 (11.3)	3897	3,294	1.000	> 0.050	0.856	> 0.050
C2	5,990	58.6 (11.5)	2862	3,127	0.825	< 0.001	0.600	< 0.001
C3	4,641	56.8 (11.4)	2727	1,914	0.757	< 0.001	0.586	< 0.001
C4	4,401	69.6 (10.2)	2853	1,548	0.920	> 0.050	1.461	< 0.001
C5	4,290	63.9 (10.7)	2803	1,487	1.402	< 0.001	1.629	< 0.001
C6	3,589	59.7 (10.9)	2388	1,201	0.969	> 0.050	0.675	< 0.001
C7	3,309	63.8 (11.0)	2025	1,284	0.889	> 0.050	0.611	< 0.001
C8	2,802	71.1 (10.9)	1867	935	0.943	> 0.050	0.842	> 0.050
C9	2,581	63.7 (11.8)	1803	778	1.314	< 0.001	1.789	> 0.050
C10	2,562	74.2 (9.6)	1225	1,337	0.978	> 0.050	0.928	> 0.050
C11	2,292	66.1 (11.0)	2186	106	0.926	> 0.050	0.650	< 0.001
C12	2,213	70.3 (10.2)	2068	145	0.920	> 0.050	0.805	> 0.050
C13	2,070	58.6 (10.2)	1348	722	0.946	> 0.050	0.577	< 0.050
C14	2,070	68.2 (9.6)	1030	1,010	1.146	> 0.050	3.390	< 0.001
C15	2,040	63.9 (10.1)	1208	805	1.031	> 0.050	0.784	> 0.050
C16	1,654	64.1 (12.1)	1013	641	1.107	> 0.050	1.761	< 0.001
C17	1,281	65.3 (9.9)	714	567	1.001	> 0.050	1.761	< 0.001
C18	1,251	68.2 (9.8)	802	449	1.790	< 0.001	3.421	< 0.001
C19	1,168	58.5 (9.7)	995	173	0.752	> 0.050	1.571	> 0.050
C20	1,119	71.5 (11.3)	713	406	1.213	> 0.050	1.782	< 0.001
C21	1,000	61.0 (11.0)	769	231	1.116	> 0.050	0.890	> 0.050
C22	988	69.2 (10.4)	516	472	1.023	> 0.050	0.978	> 0.050
C23	935	58.7 (12.2)	588	347	1.609	< 0.001	2.275	< 0.001
C24	932	67.9 (10.1)	28	904	0.787	> 0.050	1.589	< 0.001
C25	860	56.2 (9.9)	664	196	0.978	> 0.050	2.691	< 0.001
C26	852	58.7 (12.1)	391	461	0.939	> 0.050	1.108	> 0.050
C27	823	65.1 (10.9)	532	291	1.201	> 0.050	1.289	> 0.050
C28	686	71.7 (8.0)	673	13	0.866	> 0.050	1.786	< 0.001
C29	550	57.2 (11.1)	435	115	0.906	> 0.050	0.985	> 0.050
C30	533	61.2 (11.7)	391	172	1.874	< 0.001	5.364	< 0.001
C31	520	64.4 (11.2)	213	307	1.052	> 0.050	1.484	> 0.050
NA*	5,113	60.1 (11.1)	3878	1235	NA	NA	NA	NA

